text,label,total_price
"Total: $676.4
4 成人單程票 $535.2
城巴
貨品售出 恕不退換
應付金額: $676.4
3 全月通 $27.8
天星小輪票                $141.9
  折扣 -$5.3
營業時間: 07:00-23:00
$305.2   的士起步費
營業時間: 07:00-23:00
城巴月票 ................ $306.2
謝謝光臨
信用卡
日期: 2025-08-02
即日來回票          $324.0
電話: 2345 6789
Apple Pay
稅款已包括",交通,676.4
"$168.1   SmarTone數據費
環保袋收費 $0.5
------------------------------
4 咸檸檬 $598.8
$392.0   西多士
COME AGAIN
合計: HKD $579.0
電話: 2345 6789
2025年6月7日
現金
$85.6   炒蛋多士
分店: 中環
Total: $579.0
飯團
流水號: 123456
  會員折扣 -$13.0
叉燒飯 ................ $173.3
澳洲牛奶公司",食飯,579.0
"Visa
遊戲幣 x2
流水號: 123456
應付金額: $425.9
香港海洋公園
會員積分 +25
  買一送一優惠
總額: $425.9
迪士尼樂園門票          $495.1
午夜場票 x2
------------------------------
No Refund No Exchange
2025年10月7日
  折扣 -$3.3
會員積分 +25
學生票          $97.3
  會員折扣 -$10.4
================================
午夜場票   4 @$45.4",娛樂,425.9
"輕鐵單程票 x3
--------------------------------
Total: $49.5
--------------------------------
================================
東鐵線
Apple Pay
",交通,49.5
"收銀機: 01
電話: 2345 6789
收銀員: 001
實收: $267.3
No Refund No Exchange
手機殼 x2
日期: 2025-11-08
$267.3
崇光超市 (SOGO)
  折扣 -$13.4
$454.7   可樂
謝謝光臨
會員積分 +25",購物,267.3
"
稅款已包括
環保袋收費 $0.5
無塑膠袋 Thank you
實收: $35.3
1 九巴月票 $35.3
電車
AlipayHK
AlipayHK
地址: 香港九龍尖沙咀XX路XX號",交通,35.3
"環保袋收費 $0.5
洗衣液
現金
No Refund No Exchange
------------------------------
即食麵          $430.4
Date: 2025/08/04
PAID
$126.8   朱古力
Total: $477.5
膠紙 ................ $488.2
  折扣 -$12.2
APITA
3 雪糕 $35.1
流水號: 123456",購物,477.5
"$24.5   HKTaxi車費
收銀員: 001
電車票 ................ $481.8
輕鐵
八達通
日期: 2025-12-13
應付金額: $145.0",交通,145.0
"  買一送一優惠
薯片          $370.5
2025年4月25日
手機殼
筆記本                  $147.0
2 小巴費 $195.3
會員積分 +25
礦泉水                  $107.5
佳寶食品超市
全月通 ................ $10.5
停車費   3 @$13.0
洗頭膏
$796.7
飯團 x4
================================
No Refund No Exchange",購物,796.7
"合計: HKD $369.9
八達通
Date: 2025/08/11
3 即日來回票 $300.3
HKTaxi車費   2 @$9.0
機場快線
應付金額: $369.9
$369.9
即日來回票                $109.6
電車票                  $302.6
COME AGAIN",交通,369.9
"$0.0
2025年4月23日
No Refund No Exchange
信用卡
八達通
759阿信屋
流水號: 123456
分店: 尖沙咀",購物,0.0
"$109.1   扭蛋
THANK YOU
Total: $104.8
Date: 2025/06/26
總額: $104.8
港鐵巴士
------------------------------
早場票 x1
THANK YOU",交通,104.8
"Apple Pay
襪子
電話: 2345 6789
2 牙膏 $180.3
壽司
$479.4   筆
收銀機: 01
筆                    $491.9
4 維他奶 $546.3
時間: 2025-12-06 14:42
實收: $836.8
$244.1   雨衣
Total: $836.8
  第二件半價
大生生活超市",購物,836.8
"涼茶料
中華煤氣費                $305.9
私家醫生診金   3 @$40.0
分店: 中環
日期: 2025-12-14
總額: $338.4
會員積分 +10
診症費   2 @$79.9
$181.3   香港電訊電話費
MasterCard
  會員折扣 -$8.2
私家醫生",其他,338.4
"會員積分 +10
分店: 旺角
稅款已包括
洗衣液
日期: 2025-10-26
Total: $247.5
UnionPay
家興超級市場
收銀機: 01
麵包                   $519.3
******************************
內衣褲          $149.2
礦泉水                  $116.9
$247.5",購物,247.5
"總額: $718.1
八達通
博物館票 x2
九巴月票
八達通增值
情侶座位          $137.7
時間: 2025-11-19 10:25
the sky
分店: 中環
VIP座位          $93.1
  折扣 -$10.0
情侶座位 x4
環保袋收費 $0.5
學生票 ................ $272.4
無塑膠袋 Thank you
Uber費   1 @$87.3",娛樂,718.1
"應付金額: $554.7
全月通          $557.2
  買一送一優惠
分店: 中環
的士費                  $151.5
4 紅色小巴車費 $410.1
Total: $554.7
關東煮 x1
------------------------------
營業時間: 07:00-23:00

現金
Uber起步費 x1
學生單程票                $282.3
新巴",交通,554.7
"稅款已包括
叉燒飯
信用卡
分店: 尖沙咀
信用卡
柱侯牛腩飯   1 @$23.3
檸檬可樂          $209.5
Date: 2025/08/04
杏汁燉雞蛋 ................ $128.5
十字冰室
COME AGAIN
  折扣 -$6.1
No Refund No Exchange
******************************
奶油豬扒包 x4
蛋撻 ................ $536.1
$767.9
牛油多士 ................ $516.2
合計: HKD $767.9
檸檬牛油蛋糕          $234.7
No Refund No Exchange",食飯,767.9
"合計: HKD $458.4
Apple Pay
電話: 2345 6789
UnionPay
時間: 2025-05-25 17:29
濕紙巾                  $166.1
great
歡迎下次光臨
T恤   2 @$116.2
Apple Pay
1 飯團 $176.1",購物,458.4
"實收: $307.3
Total: $307.3
4 中電電費 $317.4
合計: HKD $307.3
地租 ................ $253.5
Visa
中電電費 ................ $101.2
  會員折扣 -$6.3
養和醫院
日期: 2025-09-14",其他,307.3
"奶油豬扒包
Apple Pay
實收: $482.7
電話: 2345 6789
歡迎下次光臨
涼茶料 x4
謝謝光臨
------------------------------
Total: $482.7
凍檸茶   3 @$82.8
稅款已包括
時間: 2025-08-15 13:48
PAID
東海堂
差餉          $124.3
3 香港電訊電話費 $328.8",食飯,482.7
"稅款已包括
合計: HKD $363.2

COME AGAIN
謝謝光臨
HKTaxi
$399.8   油費
信用卡
天星小輪票 x3
$363.2
無塑膠袋 Thank you
分店: 旺角
兒童單程票          $714.0
------------------------------",交通,363.2
"2 濕紙巾 $20.2
稅款已包括
麵包
------------------------------
******************************
沐浴露
環保袋收費 $0.5
應付金額: $395.2

環保袋收費 $0.5
csl手機費 ................ $68.3
中華煤氣
$165.4   香港電訊電話費",其他,395.2
"仁安醫院手術費
養生堂
  折扣 -$5.9
$96.3   中藥
電費 x4
Date: 2025/01/11
4 水費 $303.5
診症費          $90.3
$903.8
--------------------------------
總額: $903.8
葡撻
SmarTone數據費          $319.9
4 脆皮燒春雞 $91.9
地租          $244.1
藥費          $685.2
貨品售出 恕不退換",其他,903.8
"應付金額: $534.3
薯片                   $269.7
收銀機: 01
牙刷          $285.3
大生生活超市
分店: 尖沙咀
分店: 中環
會員積分 +25
洗頭膏   2 @$152.3
Apple Pay
THANK YOU
實收: $534.3
洗頭水
  會員折扣 -$6.1
2025年4月8日
耳機                   $138.7
  優惠價 -$10.6",購物,534.3
"總額: $206.8
貨品售出 恕不退換

應付金額: $206.8
港怡醫院
分店: 中環
中華煤氣費 x1
MasterCard
會員積分 +10
地址: 香港九龍尖沙咀XX路XX號
$31.9   保險費
中華煤氣費 x3
合計: HKD $206.8
******************************",其他,206.8
"無塑膠袋 Thank you
無塑膠袋 Thank you
759阿信屋
應付金額: $158.4
合計: HKD $158.4
沐浴露                  $475.3
單據號: A001234
日期: 2025-03-10
營業時間: 07:00-23:00",購物,158.4
"$57.3   涼茶料
  會員折扣 -$12.6
煤氣費 x2
================================
******************************
電費 ................ $601.5
仁安醫院手術費 ................ $312.5
謝謝光臨
保險費          $128.2
合計: HKD $751.7

  折扣 -$6.1
3 單程票 $39.5
電話費                  $594.0
分店: 中環
總額: $751.7
東華醫院
$42.7   的士隧道費",其他,751.7
"午夜場票 ................ $162.8
長者票 x1
環保袋收費 $0.5
養生堂
日期: 2025-07-18
4DX                  $332.2
------------------------------
歡迎下次光臨
$249.8
分店: 中環
AlipayHK
環保袋收費 $0.5",其他,249.8
"$79.6   蛋牛治
COME AGAIN
3 Premier座位 $250.3
合計: HKD $628.5
腸粉
香港迪士尼樂園
葡撻 x2
VIP座位
昂坪360門票   3 @$10.6
總額: $628.5
Date: 2025/05/16
會員積分 +10
演唱會門票
長者票 x2
遊戲幣 x3",娛樂,628.5
"分店: 中環
謝謝光臨
優品360
會員積分 +25
$507.4

No Refund No Exchange
Total: $507.4
電池                   $446.8
合計: HKD $507.4
牙膏                   $295.5
耳機 x1
$27.6   魚蛋
Apple Pay
$239.5   耳機
  優惠價 -$3.6",購物,507.4
"分店: 中環
流水號: 123456
貨品售出 恕不退換
應付金額: $346.1
  第二件半價
時間: 2025-11-12 12:45
一蘭拉麵
八達通
MasterCard
餐蛋公仔炒麵 ................ $254.9
茄汁蝦仁飯 ................ $245.0
環保袋收費 $0.5
沙嗲牛肉麵 x1",食飯,346.1
"瑞幸咖啡
餐蛋公仔炒麵               $355.5
環保袋收費 $0.5
MasterCard
Total: $118.5
貨品售出 恕不退換
2025年2月15日",食飯,118.5
"豬扒包
合計: HKD $237.0
蛋白燉鮮奶                $94.0
應付金額: $237.0
時間: 2025-03-11 12:33
咖喱牛腩飯 x1
會員積分 +10
撈丁 x4
稅款已包括
  優惠價 -$13.7
$290.3   星洲炒米
實收: $237.0
澳洲牛奶公司",食飯,237.0
"八達通
衛生巾          $154.4
流水號: 123456
  會員折扣 -$3.3
AlipayHK
------------------------------
分店: 尖沙咀
現金
@cosme Store
2 杏汁燉雞蛋 $96.7
2 南乳豬手麵 $142.8

總額: $341.5
$341.5
蛋撻 ................ $134.8",購物,341.5
"牛油多士 ................ $479.8
環保袋收費 $0.5
好立克 x2
無塑膠袋 Thank you
華星冰室
無塑膠袋 Thank you
================================
總額: $352.7
環保袋收費 $0.5
合計: HKD $352.7
Apple Pay
******************************

咖喱牛腩飯 x2",食飯,352.7
"內衣褲                  $357.4
茶包
零食          $112.1
MasterCard
單據號: A001234
分店: 旺角
總額: $694.8
APITA
歡迎下次光臨
Date: 2025/03/15
Visa
口罩
朱古力          $703.6
拖鞋
Visa
充電線          $429.8
$25.5   牙刷",購物,694.8
"------------------------------
仁安醫院手術費 x4
現金
關東煮 x3
現金
檸檬可樂 x1
COME AGAIN
2 涼茶料 $205.1

地址: 香港九龍尖沙咀XX路XX號
實收: $477.0
1 凍檸茶 $117.7
焗豬扒飯 x4
THANK YOU
半島冰室
THANK YOU
  買一送一優惠
現金",食飯,477.0
"Visa
THANK YOU
收銀員: 001
Apple Pay
合計: HKD $280.2
PAID
輕鐵單程票   3 @$107.6
日期: 2025-12-13
MasterCard
會員積分 +25
的士
4 天星小輪票 $690.5
  優惠價 -$15.0",交通,280.2
"分店: 銅鑼灣
謝謝光臨
  第二件半價
貨品售出 恕不退換
日期: 2025-11-19
4 入場券 $119.6
Premiere Elements
總額: $407.8
3 遊戲幣 $421.8
入場券 x3
Premier座位 x3
Visa
分店: 尖沙咀
$407.8
收銀員: 001",娛樂,407.8
"歡迎下次光臨
無塑膠袋 Thank you
飯團
應付金額: $769.1
================================
咖喱牛腩飯   1 @$84.4
樽仔奶茶                 $183.9
奶油豬扒包                $186.2
  會員折扣 -$9.8
黑椒豬扒飯          $185.9
奶油豬扒包   1 @$99.5
譚仔三哥米線
星洲炒米                 $278.5
  第二件半價
時間: 2025-03-12 13:20
葡撻 x2",食飯,769.1
"時間: 2025-10-15 17:47
單據號: A001234
襪子 ................ $176.8
1 啤酒 $149.2
$429.8
汽水          $351.1
No Refund No Exchange
分店: 銅鑼灣
垃圾袋          $267.7
  買一送一優惠
******************************
大昌食品",購物,429.8
"合計: HKD $339.1
雞翼          $268.2
地址: 香港九龍尖沙咀XX路XX號
萬寧
環保袋收費 $0.5
雞翼                   $163.4
日期: 2025-06-25
礦泉水 x3
Total: $339.1
襪子
分店: 中環
================================
營業時間: 07:00-23:00
總額: $339.1",購物,339.1
"應付金額: $179.7
總額: $179.7
昂坪360門票   1 @$163.2
影藝戲院
收銀機: 01
------------------------------
時間: 2025-08-03 14:41
  折扣 -$9.9
奶油豬扒包
MasterCard
PAID",娛樂,179.7
"--------------------------------
  會員折扣 -$11.9
飯團 ................ $298.6
時間: 2025-10-25 10:27
SASA
薯條          $275.2
$330.5   茶包
  折扣 -$7.1
會員積分 +25
化妝棉          $316.3
雪糕   4 @$100.7
總額: $735.2
THANK YOU
茶包          $687.0
筆記本                  $14.2",購物,735.2
"凍檸茶 ................ $426.4
總額: $874.7
$660.7   杏汁燉雞蛋
MasterCard
******************************
Total: $874.7
分店: 中環
Apple Pay
迷你朱古力杯子蛋糕 x3
AlipayHK
泰昌餅家
奶油豬扒包 ................ $160.7
時間: 2025-06-12 17:12
凍檸茶
叉燒飯 x4
北海道3.6牛乳          $169.2
凍檸茶          $53.0
合計: HKD $874.7",食飯,874.7
"電車票          $44.5
港鐵巴士
藥物費          $186.9
日期: 2025-12-23
保險費 ................ $221.7
分店: 旺角
Visa
分店: 尖沙咀
實收: $180.7",交通,180.7
"都會票 ................ $83.3
貨品售出 恕不退換

$125.1   紅色小巴車費
無塑膠袋 Thank you
港鐵
Apple Pay
------------------------------
$679.5   單程票
合計: HKD $443.3
的士起步費 x3
1 都會票 $40.2
信用卡
No Refund No Exchange",交通,443.3
"薯片 x3
合計: HKD $327.9
總額: $327.9
AlipayHK
------------------------------
SASA
2025年9月4日
  買一送一優惠
垃圾袋   1 @$25.5
仁安醫院手術費 ................ $79.6
零食   3 @$30.0
  折扣 -$14.4
分店: 尖沙咀
1 化驗費 $22.8",購物,327.9
"$134.3   2D正價
Uber起步費 ................ $104.5
$66.5   八達通增值
昂坪360門票          $61.6
合計: HKD $331.2
******************************
$331.2
3D正價票                $103.7
******************************
日期: 2025-08-01
單據號: A001234
信用卡
------------------------------
GALA CINEMA",娛樂,331.2
"總額: $54.9
謝謝光臨
------------------------------
信用卡
No Refund No Exchange
棉花棒 ................ $164.7
AlipayHK
現金
應付金額: $54.9
citysuper
收銀員: 001
Date: 2025/02/05",購物,54.9
"Apple Pay
合計: HKD $71.2
$71.2
流水號: 123456
稅款已包括
新香園(堅尼地城)
Date: 2025/03/15
漢堡包                  $71.2",食飯,71.2
"內衣褲 x4
$548.8   手機殼
熱狗
實收: $1058.0
面膜   4 @$38.9
$352.2   洗衣液
牛奶   2 @$177.7
APITA
2025年4月10日
充電器 ................ $198.8
可樂   3 @$144.5
$1058.0
$175.9   展覽票
$203.9   Premier座位",購物,1058.0
"涼茶 ................ $455.8
香港電訊電話費              $120.7
水務署水費          $465.9
中電電費   3 @$134.3
  第二件半價
八達通
------------------------------
診症費          $487.5
信用卡
$167.1   診症費
歡迎下次光臨
2025年5月20日
藥物費                  $151.9
中華煤氣",其他,891.0
"******************************
小巴費
無塑膠袋 Thank you
3D正價票
MOViE MOViE
4DX x2

================================
收銀機: 01
博物館票          $344.7
  第二件半價
合計: HKD $467.1
分店: 旺角
全月通                  $74.2",娛樂,467.1
"合計: HKD $111.4
信用卡
3hreesixty
AlipayHK
$89.5   雨傘
AlipayHK
Date: 2025/04/15
實收: $111.4
無塑膠袋 Thank you
  買一送一優惠
可樂 ................ $43.8
Total: $111.4",購物,111.4
"單據號: A001234
$251.9   情侶座位
------------------------------
K11 Art House票 ................ $174.4
香港迪士尼樂園
電話: 2345 6789
會員積分 +10
電話: 2345 6789
$78.6   昂坪360門票
  買一送一優惠
分店: 尖沙咀
環保袋收費 $0.5
遊戲機代幣          $80.4
分店: 中環
總額: $248.7
合計: HKD $248.7
時間: 2025-02-22 15:14",娛樂,248.7
"收銀員: 001
合計: HKD $148.6
關東煮                  $91.8
Date: 2025/11/15
$56.8   棉花棒
謝謝光臨
現金
分店: 尖沙咀
------------------------------
貨品售出 恕不退換
Total: $148.6
Apple Pay
松本清",購物,148.6
"3 叉燒飯 $28.0
總額: $912.4
奶茶                   $105.9
Date: 2025/06/14
蛋撻          $212.0
檸檬牛油蛋糕 ................ $173.8
燒賣 ................ $159.3
譚仔三哥米線
3 沙嗲牛肉麵 $518.9
$912.4
Visa
保險費 x1
涼茶          $241.0
UnionPay
合計: HKD $912.4
  會員折扣 -$9.5",食飯,912.4
"THANK YOU
充電器 x3
AlipayHK
AEON
口罩          $169.7
實收: $692.9
日期: 2025-03-12
流水號: 123456
電池 ................ $70.1
應付金額: $692.9
飯團   4 @$13.1
麵包 ................ $603.3
  第二件半價
咖啡                   $164.3
洗頭水   3 @$118.7
總額: $692.9
  買一送一優惠
THANK YOU
COME AGAIN
稅款已包括",購物,692.9
"LOG-ON
洗頭水          $101.4
口罩
收銀機: 01
$66.7   城巴月票
  優惠價 -$3.0
麵包                   $85.5
貨品售出 恕不退換
熱狗                   $96.0
紅色小巴車費   2 @$110.3
即食麵 x3
------------------------------
日期: 2025-08-09
2 麵包 $184.6",購物,631.1
"分店: 旺角
MasterCard
1 燒味飯 $49.3
單據號: A001234
營業時間: 07:00-23:00
分店: 中環
譚仔三哥米線
雲吞麵 ................ $684.4
$510.6
應付金額: $510.6
謝謝光臨
$130.2   奶茶
收銀員: 001
牛油多士                 $239.1
茄汁蝦仁飯 x3
日期: 2025-03-28
4 關東煮 $93.9",食飯,510.6
"歡迎下次光臨
煎雙蛋          $130.4
蛋白燉鮮奶 x2
日期: 2025-06-22
雲吞麵                  $548.4
華星冰室
分店: 中環
MasterCard
$261.4
現金",食飯,261.4
"$57.1   早場票
總額: $419.9
YATA
PAID
--------------------------------
牙膏
Date: 2025/06/17
分店: 旺角
會員積分 +25
啤酒 ................ $580.3
Total: $419.9
拖鞋 ................ $325.2
  會員折扣 -$13.2
No Refund No Exchange
洗衣液   4 @$110.5",購物,419.9
"歡迎下次光臨
茶包          $109.5
Don Don Donki
$175.8   三文治
時間: 2025-04-17 09:18
$618.9
分店: 尖沙咀
垃圾袋
面膜          $223.8
零食                   $50.1
AlipayHK
  折扣 -$10.0
Visa
$372.4   面膜
三文治                  $180.2
貨品售出 恕不退換",購物,618.9
"
牙膏                   $157.3
  第二件半價
No Refund No Exchange
的士起步費 x4
城巴月票                 $20.5
都會票   4 @$121.1
車票 ................ $76.5
雪糕 ................ $102.6
Uber起步費          $246.1
  優惠價 -$5.0
實收: $508.0
  會員折扣 -$14.9
合計: HKD $508.0
龍運巴士
******************************
------------------------------
即日來回票          $126.0",交通,508.0
"Circle K
1 耳機 $118.4
會員積分 +25
Date: 2025/03/09
牛奶 ................ $41.8
電話: 2345 6789
麵包   3 @$177.2
分店: 旺角
內衣褲
4 汽水 $518.8
應付金額: $747.7
零食 ................ $9.7
咖啡 ................ $124.0
拖鞋          $496.1",購物,747.7
"================================
機場快綫單程票 ................ $226.2
Total: $216.2
合計: HKD $216.2
分店: 尖沙咀
城巴
2025年4月26日
單據號: A001234
八達通增值                $479.1",交通,216.2
"營業時間: 07:00-23:00
仁安醫院
Date: 2025/12/05
應付金額: $45.3
csl手機費 ................ $90.5
******************************
分店: 銅鑼灣",其他,45.3
"咖喱牛腩飯 x4
  優惠價 -$11.5
分店: 尖沙咀

總額: $246.9
大快活
牛油多士          $238.2
燒味雙拼飯 x1
海南雞飯 ................ $152.9",食飯,246.9
"------------------------------
實收: $931.2
信用卡
2025年2月16日
  會員折扣 -$5.8
PAID
燒鵝飯
3 焗豬扒飯 $202.0
會員積分 +10
分店: 銅鑼灣
沙嗲牛肉麵          $551.7
  優惠價 -$6.7
  優惠價 -$5.5
漢堡包   1 @$115.7
4 鴛鴦奶茶 $653.4
火腿通粉 x3
COME AGAIN
環保袋收費 $0.5
煎雙蛋                  $82.9
番茄牛肉通粉
Shake Shack",食飯,931.2
"Date: 2025/03/05
分店: 銅鑼灣
實收: $452.7
$508.7   注射費
差餉
香港防癆心臟及胸病協會中醫診所
Visa
無塑膠袋 Thank you
分店: 旺角
香港電訊電話費              $343.1
總額: $452.7
單據號: A001234",其他,452.7
