text,label,total_price
"收銀員: Admin
謝謝光臨
2D正價 $92.7
2D正價 $80.6 折扣: -5.0
樂園門票 $44.1 數量: 3
IMAX $68.1
歡迎下次光臨
4DX $13.3
總金額: $321.4
日期: 2025-02-26
K11 Art House 收據
IMAX $22.5 數量: 2",娛樂,321.3616735559971
"北海道3.6牛乳 $61.6 折扣: -5.0

7-11 收據
打印時間: YYYY-MM-DD HH:MM
車仔麵 $61.4 數量: 1
總金額: $513.3
西多士 $88.3 折扣: -5.0
日本北海道3.6朱古力 $142.2 數量: 2
牛腩麵 $32.7 數量: 1
收銀員: Admin
PAID
燒賣 $127.1 數量: 2",食飯,513.3254596950685
"日期: 2025-12-25
總金額: $213.7
PAID
薯片 $66.4
百佳 收據
洗頭水 $24.8
可樂 $122.6 數量: 3",購物,213.73591181745473
"謝謝光臨
流水號: XXXX
日期: 2025-08-10
UA 收據
收銀員: Admin
總金額: $129.7
電影票 $102.2
2D正價 $27.5",娛樂,129.70776494082895
"藥費 $60.2 數量: 1
水費 $69.4 折扣: -5.0
電費 $72.9
總金額: $202.5
私家醫生 收據

收銀員: Admin
PAID
打印時間: YYYY-MM-DD HH:MM",其他,202.51180509179284
"中藥 $41.8
私家醫生 收據
中藥 $100.2
流水號: XXXX
水費 $39.9
打印時間: YYYY-MM-DD HH:MM
藥費 $128.0
總金額: $381.8
日期: 2025-08-26
電話費 $71.9 折扣: -5.0
收銀員: Admin",其他,381.83960327917055
"北海道3.6牛乳 $138.0

牛腩麵 $124.8 數量: 2
總金額: $451.1
收銀員: Admin
北海道3.6牛乳 $59.9 折扣: -5.0
流水號: XXXX
謝謝光臨
燒味飯 $85.6 數量: 1
東海堂 收據
雲吞麵 $18.9 數量: 1
三文治 $24.0",食飯,451.1490289692767
"養生堂 收據
總金額: $380.0
日期: 2025-12-20
煤氣費 $111.2
THANK YOU
中藥 $110.9
診症費 $36.3 折扣: -5.0
歡迎下次光臨
水費 $121.6 折扣: -5.0",其他,379.9817712631706
"凍檸茶 $59.1
總金額: $86.9
牛腩麵 $27.8
流水號: XXXX
金鳳茶餐廳 收據
打印時間: YYYY-MM-DD HH:MM
歡迎下次光臨
日期: 2025-04-05",食飯,86.90414860941118
"聖安娜 收據
沙嗲牛肉麵 $77.5 折扣: -5.0
打印時間: YYYY-MM-DD HH:MM
PAID
凍檸茶 $31.4 折扣: -5.0
漢堡包 $134.7
流水號: XXXX
日期: 2025-09-26
總金額: $576.6
叉燒飯 $141.5
菠蘿油 $50.3
關東煮 $141.3",食飯,576.6476839635408
